"Борт","Вход","Выход","Вход/Выход","Время"
TЕ127НС154,0,1,Выход,2022-07-27 14:44:39
TЕ127НС154,1,0,Вход,2022-07-27 14:44:45
TЕ127НС154,1,0,Вход,2022-07-27 14:44:46
TЕ127НС154,0,1,Выход,2022-07-27 14:46:44
TЕ127НС154,0,1,Выход,2022-07-27 14:48:43
TЕ127НС154,0,1,Выход,2022-07-27 14:48:45
TЕ127НС154,0,1,Выход,2022-07-27 14:53:41
TЕ127НС154,1,0,Вход,2022-07-27 14:58:24
TЕ127НС154,1,0,Вход,2022-07-27 15:10:22
TЕ127НС154,0,1,Выход,2022-07-27 15:14:41
TЕ127НС154,0,1,Выход,2022-07-27 15:14:43
TЕ127НС154,0,1,Выход,2022-07-27 15:14:45
TЕ127НС154,1,0,Вход,2022-07-27 15:14:49
TЕ127НС154,0,1,Выход,2022-07-27 15:17:10
TЕ127НС154,0,1,Выход,2022-07-27 15:18:49
TЕ127НС154,0,1,Выход,2022-07-27 15:19:39
TЕ127НС154,0,1,Выход,2022-07-27 15:19:40
TЕ127НС154,1,0,Вход,2022-07-27 15:23:47
TЕ127НС154,1,0,Вход,2022-07-27 15:27:53
TЕ127НС154,1,0,Вход,2022-07-27 15:30:05
TЕ127НС154,1,0,Вход,2022-07-27 15:30:11
TЕ127НС154,0,1,Выход,2022-07-27 15:32:15
TЕ127НС154,1,0,Вход,2022-07-27 15:32:17
TЕ127НС154,0,1,Выход,2022-07-27 15:33:27
TЕ127НС154,0,1,Выход,2022-07-27 15:34:46
TЕ127НС154,0,1,Выход,2022-07-27 15:36:29
TЕ127НС154,0,1,Выход,2022-07-27 15:37:31
TЕ127НС154,1,0,Вход,2022-07-27 15:39:47
TЕ127НС154,1,0,Вход,2022-07-27 15:41:24
TЕ127НС154,1,0,Вход,2022-07-27 15:50:14
TЕ127НС154,0,1,Выход,2022-07-27 15:55:13
TЕ127НС154,0,1,Выход,2022-07-27 15:58:25
TЕ127НС154,0,1,Выход,2022-07-27 16:03:47
TЕ127НС154,1,0,Вход,2022-07-27 16:08:50
TЕ127НС154,1,0,Вход,2022-07-27 16:08:52
TЕ127НС154,1,0,Вход,2022-07-27 16:12:28
TЕ127НС154,1,0,Вход,2022-07-27 16:12:30
TЕ127НС154,0,1,Выход,2022-07-27 16:17:35
TЕ127НС154,0,1,Выход,2022-07-27 16:17:37
TЕ127НС154,1,0,Вход,2022-07-27 16:19:06
TЕ127НС154,0,1,Выход,2022-07-27 16:21:00
TЕ127НС154,0,1,Выход,2022-07-27 16:22:04
TЕ127НС154,0,1,Выход,2022-07-27 16:24:41
TЕ127НС154,1,0,Вход,2022-07-27 16:24:52
TЕ127НС154,1,0,Вход,2022-07-27 16:31:08
TЕ127НС154,1,0,Вход,2022-07-27 16:34:23
TЕ127НС154,0,1,Выход,2022-07-27 16:42:12
TЕ127НС154,0,1,Выход,Invalid Date
TЕ127НС154,1,0,Вход,2022-07-27 16:42:16
TЕ127НС154,0,1,Выход,2022-07-27 16:48:48
TЕ127НС154,0,1,Выход,2022-07-27 16:48:52
TЕ127НС154,0,1,Выход,2022-07-27 16:49:34
TЕ127НС154,1,0,Вход,2022-07-27 16:52:45
